====== LL 660 ======,,====== Heap 660 ======,,====== STL 660 ======
0.002417,,0.001613,,0.002014
0.001875,,0.001442,,0.001729
0.001766,,0.001267,,0.001553
0.001573,,0.001242,,0.001468
0.001524,,0.001108,,0.00139
0.001434,,0.001069,,0.001481
0.001463,,0.001074,,0.001351
0.001264,,0.000955,,0.001267
0.00116,,0.000983,,0.0014
0.001163,,0.001039,,0.001672
0.001159,,0.000894,,0.001329
0.001158,,0.000916,,0.001328
0.001353,,0.000894,,0.001259
0.001419,,0.000835,,0.001255
0.00124,,0.000788,,0.001251
0.001162,,0.000787,,0.001287
0.001158,,0.000788,,0.00126
0.001158,,0.000817,,0.001257
0.001152,,0.000808,,0.001253
0.001157,,0.000811,,0.001258
0.001161,,0.000811,,0.00126
0.001223,,0.000812,,0.001319
0.001158,,0.00081,,0.00125
0.001158,,0.000812,,0.00129
0.001156,,0.000809,,0.001302
0.001282,,0.000856,,0.001327
0.001408,,0.000809,,0.001386
0.001297,,0.000809,,0.001224
0.001193,,0.000811,,0.001222
0.001284,,0.000805,,0.001217
0.001314,,0.000788,,0.001223
0.001295,,0.000817,,0.001219
0.001332,,0.000866,,0.001223
0.001216,,0.000927,,0.001338
0.001319,,0.000786,,0.001299
0.001449,,0.000784,,0.001247
0.001386,,0.000787,,0.00121
0.001215,,0.000841,,0.001208
0.001198,,0.00089,,0.001218
0.001192,,0.000785,,0.001224
0.001194,,0.000786,,0.001268
0.001189,,0.000787,,0.001259
0.001201,,0.000787,,0.00121
0.001195,,0.000788,,0.001229
0.001191,,0.000786,,0.001294
0.001195,,0.000787,,0.001222
0.001191,,0.000788,,0.001309
0.001193,,0.000787,,0.001255
0.001195,,0.000787,,0.001209
0.001216,,0.000788,,0.001219
0.001231,,0.000853,,0.00127
0.001299,,0.000809,,0.001212
0.001171,,0.00102,,0.001214
0.001252,,0.00113,,0.001272
0.001181,,0.00087,,0.001282
0.001156,,0.000786,,0.001222
0.001153,,0.000793,,0.001218
0.001153,,0.000787,,0.001224
0.001153,,0.000859,,0.001216
0.001215,,0.000787,,0.001245
0.001154,,0.000829,,0.001245
0.001154,,0.000808,,0.001217
0.001157,,0.000843,,0.001213
0.001152,,0.000785,,0.001217
0.001219,,0.000786,,0.001208
0.001188,,0.000787,,0.001261
0.001217,,0.000788,,0.00149
0.001304,,0.000786,,0.00125
0.001234,,0.000788,,0.001206
0.001313,,0.000788,,0.001213
0.001354,,0.000786,,0.001221
0.001315,,0.000784,,0.001258
0.001366,,0.000785,,0.001268
0.001288,,0.000787,,0.00129
0.001158,,0.000786,,0.00121
0.001159,,0.000788,,0.001218
0.001158,,0.000787,,0.001214
0.001158,,0.000833,,0.001218
0.001165,,0.000785,,0.001211
0.001159,,0.000786,,0.001213
0.001159,,0.000786,,0.001223
0.001156,,0.000786,,0.001268
0.001158,,0.000786,,0.001502
0.001161,,0.000787,,0.001434
0.001158,,0.000787,,0.001727
0.001279,,0.000786,,0.001876
0.001155,,0.000788,,0.001814
0.001162,,0.000789,,0.001339
0.001162,,0.000785,,0.001458
0.001158,,0.000786,,0.001446
0.001159,,0.000942,,0.001559
0.001154,,0.001062,,0.00138
0.001156,,0.000786,,0.00134
0.00119,,0.000787,,0.001337
0.001178,,0.000787,,0.001334
0.001161,,0.001366,,0.001337
0.001155,,0.000967,,0.001342
0.001158,,0.000792,,0.001333
0.001209,,0.000832,,0.001307
0.00131,,0.000786,,0.001302
0.001565,,0.000787,,0.001293
0.001211,,0.000784,,0.00135
0.001159,,0.000785,,0.001288
0.001161,,0.000787,,0.001291
0.001161,,0.000785,,0.00132
0.001158,,0.000783,,0.001254
0.001158,,0.000784,,0.001269
0.00116,,0.000788,,0.00129
0.00116,,0.000784,,0.001309
0.001163,,0.000786,,0.001247
0.001159,,0.000786,,0.001284
0.00119,,0.000786,,0.00126
0.001288,,0.000786,,0.001247
0.001266,,0.000784,,0.00145
0.001316,,0.000786,,0.001279
0.001273,,0.000786,,0.001262
0.001162,,0.000786,,0.001253
0.001161,,0.000785,,0.00125
0.00116,,0.000784,,0.001257
0.001161,,0.000784,,0.001255
0.001158,,0.00084,,0.001268
0.00116,,0.000787,,0.001251
0.001161,,0.000786,,0.001257
0.001158,,0.000785,,0.001251
0.001158,,0.000785,,0.001269
0.001161,,0.000784,,0.001285
0.001153,,0.000786,,0.001288
0.001158,,0.000784,,0.001235
0.00132,,0.000783,,0.001217
0.001309,,0.000786,,0.001214
0.001191,,0.000786,,0.001215
0.001157,,0.000784,,0.001218
0.001228,,0.000787,,0.001218
0.001195,,0.000786,,0.001219
0.001171,,0.000786,,0.001225
0.001156,,0.000784,,0.001223
0.001207,,0.000786,,0.001241
0.001158,,0.000786,,0.001226
0.001156,,0.000785,,0.001221
0.001158,,0.000785,,0.001326
0.001158,,0.000785,,0.0013
0.001157,,0.000785,,0.001227
0.001163,,0.000785,,0.001292
0.001158,,0.000785,,0.00122
0.001153,,0.000783,,0.001214
0.001162,,0.000786,,0.001214
0.001156,,0.000785,,0.001267
0.001286,,0.000787,,0.001219
0.001158,,0.000787,,0.001223
0.001157,,0.000787,,0.001231
0.001162,,0.000931,,0.001222
0.001159,,0.000944,,0.001303
0.00121,,0.000795,,0.001217
0.001154,,0.000792,,0.001221
0.001205,,0.000789,,0.00122
0.001206,,0.00079,,0.001212
0.001161,,0.000788,,0.001299
0.001161,,0.000788,,0.00125
0.001157,,0.000791,,0.001214
0.001158,,0.00079,,0.001216
0.001162,,0.000788,,0.001216
0.001157,,0.000789,,0.001216
0.001161,,0.0008,,0.001217
0.001158,,0.000787,,0.001233
0.001181,,0.000789,,0.001223
0.001159,,0.000786,,0.00126
0.001158,,0.000788,,0.001254
0.001222,,0.000786,,0.001218
0.001155,,0.000785,,0.001232
0.001156,,0.000785,,0.001216
0.001159,,0.000788,,0.00121
0.001157,,0.000786,,0.001283
0.00116,,0.000785,,0.001218
0.001157,,0.000785,,0.001221
0.001191,,0.000784,,0.001226
0.001173,,0.000788,,0.001214
0.001159,,0.000785,,0.001209
0.001203,,0.000785,,0.00122
0.001157,,0.000787,,0.001302
0.001157,,0.000786,,0.001256
0.001159,,0.000832,,0.001222
0.001162,,0.000786,,0.001214
0.001159,,0.000785,,0.001261
0.001155,,0.000784,,0.001216
0.001178,,0.000786,,0.00122
0.001202,,0.000787,,0.001489
0.001159,,0.000785,,0.001279
0.001159,,0.000787,,0.001279
0.001158,,0.000788,,0.001876
0.001159,,0.000786,,0.001899
0.001165,,0.000787,,0.001422
0.001157,,0.000787,,0.001712
0.001162,,0.000786,,0.001321
0.0012,,0.000785,,0.001455
0.001159,,0.000786,,0.001218
0.001208,,0.000784,,0.001216
0.001159,,0.000785,,0.001216
0.00116,,0.000788,,0.001222
0.00116,,0.000787,,0.001215
0.001157,,0.000785,,0.001217
0.00116,,0.000785,,0.001219
0.001156,,0.000788,,0.001217
0.00116,,0.000787,,0.001268
0.001157,,0.000845,,0.001675
0.00116,,0.000785,,0.00144
0.001296,,0.000784,,0.001292
0.001205,,0.000787,,0.001688
0.00116,,0.000785,,0.001215
0.001158,,0.000784,,0.001216
0.001158,,0.000784,,0.001216
0.00116,,0.000798,,0.001218
0.001157,,0.000814,,0.001218
0.001161,,0.000785,,0.001214
0.001158,,0.000788,,0.001224
0.001159,,0.000784,,0.001227
0.001174,,0.000787,,0.001211
0.001178,,0.000787,,0.001211
0.001161,,0.000785,,0.001225
0.001157,,0.000786,,0.001292
0.001158,,0.000785,,0.001405
0.00116,,0.000786,,0.001432
0.001158,,0.000829,,0.001217
0.00116,,0.000787,,0.001225
0.001156,,0.00079,,0.001217
0.001162,,0.000786,,0.001535
0.001161,,0.000785,,0.00141
0.001158,,0.000786,,0.001253
0.001161,,0.000786,,0.001298
0.001158,,0.000785,,0.001478
0.00116,,0.000787,,0.002289
0.001162,,0.000785,,0.001368
0.001157,,0.000785,,0.001216
0.00116,,0.000785,,0.001225
0.001156,,0.000785,,0.00122
0.001159,,0.000785,,0.001226
0.001163,,0.000786,,0.001226
0.001238,,0.000785,,0.001222
0.001157,,0.000786,,0.001224
0.001152,,0.000788,,0.001274
0.001153,,0.000789,,0.001221
0.001158,,0.000786,,0.001276
0.00118,,0.000829,,0.001227
0.0012,,0.000785,,0.001226
0.001153,,0.000786,,0.001227
0.001154,,0.000786,,0.001226
0.001161,,0.000785,,0.001221
0.001154,,0.000787,,0.001226
0.001157,,0.000785,,0.001219
0.001155,,0.000825,,0.001228
0.001152,,0.000808,,0.00124
0.001157,,0.000786,,0.001225
0.001152,,0.000833,,0.001219
0.001155,,0.000787,,0.001219
0.001155,,0.000784,,0.001216
0.001152,,0.000784,,0.001221
0.001155,,0.000786,,0.001214
0.001153,,0.000785,,0.001278
0.001225,,0.000787,,0.001212
0.00116,,0.000786,,0.00128
0.001158,,0.000786,,0.0013
0.00116,,0.000788,,0.001213
0.001161,,0.000784,,0.001215
0.001157,,0.000785,,0.001221
0.001161,,0.000784,,0.001216
0.001161,,0.000787,,0.00122
0.001158,,0.000786,,0.001213
0.001161,,0.000786,,0.001221
0.001161,,0.000787,,0.001218
0.001189,,0.000785,,0.00122
0.001179,,0.000787,,0.001211
0.001159,,0.000786,,0.00121
0.001155,,0.000826,,0.001219
0.00116,,0.000786,,0.001227
0.001159,,0.000787,,0.001217
0.001181,,0.000788,,0.001227
0.00116,,0.000786,,0.001214
0.001161,,0.000788,,0.001219
0.001201,,0.000784,,0.001257
0.001198,,0.000787,,0.001218
0.001195,,0.000789,,0.00122
0.001155,,0.000787,,0.001227
0.001158,,0.000786,,0.001216
0.001308,,0.000786,,0.001223
0.001157,,0.000783,,0.001227
0.001164,,0.000785,,0.001258
0.001162,,0.000786,,0.001213
0.001157,,0.000784,,0.001226
0.001158,,0.000785,,0.001226
0.001159,,0.000786,,0.001212
0.001156,,0.000788,,0.001225
0.00116,,0.000787,,0.00121
0.00116,,0.000785,,0.001215
0.001157,,0.000786,,0.001224
0.001157,,0.000787,,0.001219
0.001158,,0.000786,,0.001218
0.001157,,0.000788,,0.001231
0.001161,,0.000787,,0.00122
0.00116,,0.000788,,0.00126
0.001199,,0.000807,,0.001215
0.001235,,0.000814,,0.001219
0.001159,,0.000785,,0.001212
0.001154,,0.000785,,0.001215
0.001158,,0.000832,,0.001247
0.001158,,0.000786,,0.001217
0.001155,,0.000788,,0.001217
0.001157,,0.000786,,0.001242
0.001157,,0.000786,,0.001228
0.001156,,0.000786,,0.001218
0.001162,,0.00083,,0.001223
0.00116,,0.000785,,0.001217
0.001157,,0.000786,,0.001238
0.001159,,0.000784,,0.001213
0.001159,,0.000784,,0.001211
0.001157,,0.000785,,0.001222
0.001183,,0.000788,,0.001224
0.00121,,0.000786,,0.001258
0.001185,,0.000786,,0.001261
0.001161,,0.000788,,0.001215
0.001202,,0.000786,,0.00123
0.001189,,0.000786,,0.001297
0.001203,,0.000786,,0.001249
0.00136,,0.000787,,0.001299
0.001168,,0.000785,,0.001254
0.001161,,0.000787,,0.001277
0.00116,,0.000785,,0.001249
0.001156,,0.000787,,0.001342
0.00121,,0.000786,,0.001307
0.001156,,0.000789,,0.00126
0.001218,,0.000784,,0.001248
0.001218,,0.000785,,0.001216
0.001159,,0.000785,,0.00122
0.001155,,0.000838,,0.001221
0.00116,,0.000829,,0.001223
0.00116,,0.000787,,0.001255
0.001157,,0.000786,,0.001224
0.00116,,0.000784,,0.001262
0.001202,,0.000786,,0.001219
0.001157,,0.000785,,0.001221
0.00116,,0.000786,,0.001215
0.0012,,0.000825,,0.001223
0.001156,,0.0008,,0.001214
0.001159,,0.000786,,0.001268
0.001164,,0.000785,,0.001228
0.001157,,0.000784,,0.001218
0.001207,,0.000786,,0.001216
0.001231,,0.000787,,0.001228
0.001156,,0.000854,,0.001219
0.00121,,0.000786,,0.001212
0.001517,,0.000786,,0.001217
0.001169,,0.000785,,0.001214
0.001161,,0.000787,,0.001219
